"FID_","precinct","Shape_area","Shape_len","City","Consolidat","Precinct_1","m_VoteType","p_VoteType","m_Registration","p_Registration","m_BallotsCast","p_BallotsCast","m_Turnout","p_Turnout","m_","p_","m_PRESIDENTANDVICEBARACKOBAMA","p_PRESIDENTANDVICEBARACKOBAMA","m_JILLSTEIN","p_JILLSTEIN","m_THOMASHOEFLING","p_THOMASHOEFLING","m_MITTROMNEY","p_MITTROMNEY","m_GARYJOHNSON","p_GARYJOHNSON","m_ROSEANNEBARR","p_ROSEANNEBARR","m_UnderVote","p_UnderVote","m_OverVote","p_OverVote","RevPrecinct"
,202010.000000,470828.997880,3110.210298,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,202200.000000,297789.600735,2595.051848,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,202600.000000,873477.897941,3965.609204,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,202700.000000,253247.249169,3237.435933,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,202720.000000,340515.758185,3336.047259,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,204230.000000,802428.558180,3650.965752,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,204240.000000,746239.286721,3617.316740,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,204510.000000,865268.635178,3951.851073,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,204800.000000,393472.708244,2515.323020,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
,204910.000000,442050.055208,3331.330568,"Berkeley",0,0.000000,"","",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
